lugar;delito;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
asturias;3.3.-Corrupcion de menores o incapacitados;8;8;9;8;2;3;11;1;2;7;8;7;2;8;6
asturias;3.4.-Pornografia de menores;13;14;11;19;12;11;11;8;10;10;7;9;11;8;25
asturias;3.5.-Otros contra la libertad sexual;42;37;37;37;39;30;36;23;24;23;18;22;17;19;21
asturias;4. RELACIONES FAMILIARES;95;95;69;91;78;99;104;117;106;149;137;144;160;160;117
asturias;5. PATRIMONIO;23,834;23,761;22,476;18,028;16,593;19,066;18,807;17,964;18,359;18,946;19,530;20,834;20,612;18,959;18,724
asturias;5.1.-Hurtos;7,715;7,681;6,810;4,705;4,148;6,780;7,223;7,261;7,638;8,275;8,715;10,060;10,381;9,322;8,721
asturias;5.2.-Robos con fuerza en las cosas;2,245;2,581;2,083;1,976;1,891;2,440;2,359;2,650;3,043;3,075;3,222;3,348;3,553;3,489;4,028
asturias;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;466;586;458;394;389;421;466;485;565;467;568;568;677;736;797
asturias;5.2.2.-Robos con fuerza en viviendas;773;990;830;832;650;908;871;956;1,101;956;931;1,029;1,130;683;770
asturias;5.2.3.-Robos con fuerza en establecimientos;523;561;353;365;459;618;594;762;832;1,000;944;896;867;1,038;1,122
asturias;5.3.-Robos con violencia o intimidacion;344;424;392;295;317;362;355;371;531;603;683;766;836;643;612
asturias;5.3.1.-Robos con violencia en via pública;188;216;212;155;164;196;207;218;321;360;408;458;540;429;396
asturias;5.3.2.-Robos con violencia en viviendas;36;44;35;25;41;41;35;35;44;64;85;81;71;57;46
asturias;5.3.3.-Robos con violencia en establecimientos;86;109;95;67;78;97;76;70;103;130;116;130;117;84;114
asturias;5.4.-Sustraccion de vehiculos;201;259;239;259;289;224;211;394;371;449;484;451;480;664;665
asturias;5.5.-Estafas;9,040;8,907;8,809;7,061;6,533;5,577;4,817;3,553;2,955;2,446;2,033;1,646;1,545;1,353;1,125
asturias;5.5.1.-Estafas informaticas;8,117;7,897;7,661;6,187;5,623;3,657;2,371;1,677;1,277;1,002;690;585;475;376;320
asturias;5.6.-Danos;3,127;2,931;3,151;2,931;2,625;2,824;2,994;3,008;3,025;3,112;3,265;3,718;3,429;3,195;3,294
asturias;5.7.-Contra la propiedad intelectual/industrial;15;9;13;11;6;18;37;7;12;16;26;23;32;19;32
asturias;5.8.-Blanqueo de capitales;7;2;1;1;1;1;4;3;0;1;1;3;0;2;1
asturias;5.9.-Otros contra el patrimonio;1,140;967;978;789;783;840;807;717;784;969;1,101;819;356;272;246
baleares;1. CONTRA LAS PERSONAS;10,012;10,159;9,288;7,431;6,407;8,110;7,545;7,096;6,609;7,774;9,299;9,030;8,966;9,608;8,938
baleares;1.1.-Homicidios dolosos/asesinatos;45;50;39;38;37;48;44;32;32;35;33;33;30;60;41
baleares;1.1.1.-Homicidios dolosos/asesinatos consumados;7;8;3;6;7;6;8;4;9;8;12;10;5;12;6
baleares;1.2.-Lesiones;4,452;4,495;4,169;3,101;2,765;3,774;3,806;3,679;3,456;3,301;3,325;3,325;3,387;3,702;3,358
baleares;1.3.-Malos tratos ambito familiar;5,223;5,341;4,868;4,114;3,474;4,123;3,558;3,253;3,045;2,647;2,502;2,425;2,232;2,347;2,137
baleares;1.4.-Otros contra las personas;292;273;212;178;131;165;137;132;76;1,791;3,439;3,247;3,317;3,499;3,402
baleares;2. CONTRA LA LIBERTAD;6,198;6,339;5,863;5,619;5,083;4,718;4,373;4,377;4,258;2,685;1,350;1,327;1,384;1,590;1,515
baleares;2.1.-Malos tratos habituales en el ambito familiar;665;678;642;682;569;526;509;484;514;472;428;474;506;619;592
baleares;2.2.-Otros contra la libertad;5,533;5,661;5,221;4,937;4,514;4,192;3,864;3,893;3,744;2,213;922;853;878;971;923
baleares;3. LIBERTAD SEXUAL;997;1,050;915;777;520;743;584;517;442;411;394;406;383;419;426
baleares;3.1.-Agresion sexual;690;709;597;513;305;492;371;336;256;238;219;225;211;238;213
baleares;3.2.-Agresion sexual con penetracion;165;156;157;122;84;126;108;67;69;69;77;87;78;68;65
baleares;3.3.-Corrupcion de menores o incapacitados;6;21;23;19;28;14;16;9;27;17;19;18;20;15;16
baleares;3.4.-Pornografia de menores;45;32;14;22;17;16;17;19;17;11;23;27;13;24;43
baleares;3.5.-Otros contra la libertad sexual;91;132;124;101;86;95;72;86;73;76;56;49;61;74;89
baleares;4. RELACIONES FAMILIARES;223;237;280;270;194;188;168;180;212;234;255;274;258;212;161
baleares;5. PATRIMONIO;56,264;53,976;53,397;41,567;42,187;58,274;55,800;55,129;51,859;50,642;52,211;57,282;58,202;57,572;54,693
baleares;5.1.-Hurtos;24,316;23,009;24,460;16,433;12,478;26,584;27,629;29,183;27,962;27,662;29,784;34,526;33,392;31,650;28,551
baleares;5.2.-Robos con fuerza en las cosas;7,389;6,806;7,048;6,119;5,724;7,883;7,967;8,666;8,737;8,506;9,219;10,050;11,756;13,000;13,221
baleares;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;3,545;3,195;3,192;2,582;2,257;2,893;2,455;2,895;2,965;2,528;2,878;3,037;3,694;4,211;2,774
